prenedo;Pedro;Renedo Fernandez;0;prenedo@administrador.es;prene;False
lalonso;Luaura;Alonso Renedo;1;l.alonso@evaluador.es;lau;False
aperez;Antonio;Pérez de Frutos;2;a.perez@aspirante.es;passwd3;False
;Diego;Alonso Renedo;0;prueba@administrador.es;prueba;False
dalonso;;Alonso Renedo;0;prueba@administrador.es;prueba;False
dalonso;Diego;;0;prueba@administrador.es;prueba;False
dalonso;Diego;Alonso Renedo;0;;prueba;False
dalonso;Diego;Alonso Renedo;0;prueba@administrador.es;;False
dalonso;Diego;Alonso Renedo;0;prueba@administrador.es;prueba;True
prenedo2;Pedro;Renedo Fernandez;0;prenedo@administrador.es;prene;True
prenedo3;Pedro;Renedo Fernandez;1;prenedo@evaluador.es;prene;True
